Format: LABEL: Actual words in document  --  [Pattern used]  {Original file}  Number of occurrence

ADDRESS: If   <| LA |>   had   --   [1155 N LA BREA AVENUE]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: care   <| for |>   their   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Arkansas   <| State |>   Chamber   --   [CENSUS STATE DATA CENTER]  {aiea.ualr.edu} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: offers   <| a |>   great   --   [A I FRIEDMAN]  {aifriedman.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: s   <| schools |>   as   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: framework   <| for |>   organizations   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY:    <| CONSTRUCTION |>   SERVICES   --   [AIHAMA CONSTRUCTION INCORPORATION]  {aihama.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| Aiello ' s restaurant |>   is   --   [AIELLO 'S ITALIAN RESTAURANT]  {aiellosrestaurant.com} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: of   <| AIDS |>   Commemoration   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: gourmet   <| sausages |>   ,   --   [AIDELLS SAUSAGE COMPANY]  {aidells.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
ADDRESS: /   <| S |>   Trimmed   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: to   <| embroider |>   and   --   [AIDA EMBROIDERY AND PRINTING]  {aidae.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| CONSTRUCTION |>   MATERIAL   --   [AIHAMA CONSTRUCTION INCORPORATION]  {aihama.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: study   <| abroad |>   ,   --   [9 W BROAD STREET # 7]  {aifs.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: 3   <| S |>   Spring   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: AIDS   <| Task |>   Force   --   [SOUTHERN NHHIV-AIDS TASK]  {aidstaskforcenh.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 20
COMPANY: Family   <| Health |>   .   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| American Indian |>   Science   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: the   <| Indian |>   Self-Determination   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: the   <| title |>   of   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: supplements   <| for |>   protection   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: multiple   <| AIFS |>   programs   --   [AIFS INCORPORATION]  {aifs.org} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: Requests   <| for |>      --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: ’   <| s |>   capability   --   [8 S MICHIGAN AVENUE # 1100]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: +   <| College |>   Ready   --   [660 N COLLEGE STREET]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: /   <| S |>   B   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: Export   <| Authority |>      --   [ENERGY AUTHORITY]  {aidea.org} REASON:ONLY_ONE_WORD    Occurrence: 2
COMPANY:    <| Task |>   Force   --   [SOUTHERN NHHIV-AIDS TASK]  {aidstaskforcenh.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 5
COMPANY: specialty   <| auto insurance |>   market   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
ADDRESS: 7   <| Junkins Avenue |>   ,   --   [1 JUNKINS AVENUE # 4]  {aidsresponse.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: ,   <| AIC |>   has   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| Aidan |>   '   --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
COMPANY: Buy   <| Aidells |>      --   [AIDELLS SAUSAGE COMPANY]  {aidells.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY: TeamAICR   <| for |>   the   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: families   <| for |>   information   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| AIDS Alliance |>   Featured   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: is   <| AIDP |>   ’   --   [AIDP INCORPORATION]  {aidp.com} REASON:ONLY_ONE_WORD    Occurrence: 1
ADDRESS: ’   <| s |>   Board   --   [6460 S 6TH STREET ROAD]  {aiec.coop} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Contact   <| AIFS |>   at   --   [AIFS INCORPORATION]  {aifs.org} REASON:ONLY_ONE_WORD    Occurrence: 3
ADDRESS: /   <| S |>   Zinc   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 8
ADDRESS: /   <| S |>      --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4634
COMPANY: an   <| international |>   nonprofit   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: work   <| for |>   better   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: at   <| a |>   corporate   --   [A I FRIEDMAN]  {aifriedman.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: groups   <| for |>   expecting   --   [AID FOR WOMEN]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: programs   <| for |>   women   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: /   <| AIDS |>   :   --   [AIDS RESPONSE-SEACOAST]  {aidsresponse.org} REASON:ONLY_ONE_WORD    Occurrence: 2
COMPANY: per   <| Indian |>   student   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: and   <| AIDS |>   while   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: /   <| AIDS |>   community   --   [AIDS FOUNDATION OF CHICAGO]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: END   <| AIDS |>      --   [AIDS FOUNDATION OF CHICAGO]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 25
COMPANY: covering   <| Indian |>   Countryâ   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: on   <| AIDS |>   .   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: and   <| AIDS |>   ,   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| Title |>   Insurance   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 5
COMPANY: of   <| data |>   from   --   [CENSUS STATE DATA CENTER]  {aiea.ualr.edu} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: -   <| Construction |>   Company   --   [AIHAMA CONSTRUCTION INCORPORATION]  {aihama.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 10
CONTACT: that   <| Clay |>   brought   --   [Clay Healey]  {aictitleservice.com} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: 2012   <| American |>   International   --   [AMERICAN INTERCONTINENTAL]  {aici-ho.com} REASON:ONLY_ONE_WORD    Occurrence: 3
COMPANY:    <| Company |>   Name   --   [AIF COMPANY]  {aifcompany.com} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: ,   <| American |>   Club   --   [AMERICAN INTERCONTINENTAL]  {aici-ho.com} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: for   <| insurance |>   company   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: The   <| Grove |>   –   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| For |>   purchase   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: the   <| Aidan |>   Program   --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: all-natural   <| sausages |>   in   --   [AIDELLS SAUSAGE COMPANY]  {aidells.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY: Haskell   <| Indian |>   Nations   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: dinner   <| sausage |>      --   [AIDELLS SAUSAGE COMPANY]  {aidells.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: RESOURCES   <| FOR |>   :   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: logo   <| embroidery |>   on   --   [AIDA EMBROIDERY AND PRINTING]  {aidae.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: STANDOFF   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: Drive   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: responsibility   <| for |>   personal   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: AIDB   <| school |>   yet   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: New   <| American |>   Plate   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: the   <| Montessori |>   philosophy   --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: /   <| S |>   6   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: ,   <| AIDP |>   has   --   [AIDP INCORPORATION]  {aidp.com} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: free   <| legal |>   assistance   --   [AIDS LEGAL COUNCIL]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: /   <| S |>   Spring   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY:    <| For |>   more   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: /   <| S |>   Flat   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 20
COMPANY: as   <| schools |>   around   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: is   <| Title |>   Insurance   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: the   <| association |>   from   --   [ASSOCIATION OF IL ELECTRIC]  {aiec.coop} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: for   <| International |>   Development   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: through   <| embroidery and screen printing |>   .   --   [AIDA EMBROIDERY AND PRINTING]  {aidae.com} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: Our   <| sausages |>   are   --   [AIDELLS SAUSAGE COMPANY]  {aidells.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: of   <| AIC |>   is   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 8
COMPANY: (   <| AIFS |>   )   --   [AIFS INCORPORATION]  {aifs.org} REASON:ONLY_ONE_WORD    Occurrence: 12
COMPANY: that   <| Task |>   Force   --   [SOUTHERN NHHIV-AIDS TASK]  {aidstaskforcenh.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: to   <| AIDS |>   has   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: ,   <| Alabama |>   35222   --   [AIDS ALABAMA]  {aidsalabama.org} REASON:ONLY_ONE_WORD    Occurrence: 2
ADDRESS: 5013   <| S. Hermitage Ave. |>   ,   --   [8 S MICHIGAN AVENUE # 1100]  {aidforwomen.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 2
ADDRESS: /   <| S |>   Plastite   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 58
COMPANY: public   <| health |>   through   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: HIV   <| Legal |>   Guides   --   [AIDS LEGAL COUNCIL]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY: of   <| AIDS |>   is   --   [AIDS RESPONSE-SEACOAST]  {aidsresponse.org} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: Hartford   <| Insurance |>   ,   --   [ALABAMA INSURANCE EXCHANGE INCORPORATION]  {aieins.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
COMPANY: 000   <| Title |>   Searches   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: /   <| S |>   Nickel   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 10
ADDRESS: /   <| S |>   .   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 6
COMPANY: in   <| Higher |>   Education   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
COMPANY: residential   <| construction |>   projects   --   [AIHAMA CONSTRUCTION INCORPORATION]  {aihama.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: to   <| Aidex |>      --   [AIDEX CORP]  {aidex.com} REASON:ONLY_ONE_WORD    Occurrence: 2
COMPANY: Aircraft   <| Title |>   Search   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Chicago   <| Audio |>   Group   --   [AUDIO INTERVISUAL DESIGN]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
CITY: the   <| industry |>   since   --   [CITY OF INDUSTRY]  {aicipc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 6
COMPANY: Restaurants   <| Construction |>   Company   --   [AIHAMA CONSTRUCTION INCORPORATION]  {aihama.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 10
ADDRESS: Deg   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: ,   <| AIH |>   provides   --   [AIH DESTINATION MGMT]  {aihtravel.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: funds   <| for innovative cancer |>   research   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 2
COMPANY: the   <| American |>   Organization   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
CONTACT:    <| Ray |>   dreamt   --   [Ray Mulch Sr]  {aidantfire.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: 10   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 6
COMPANY:    <| AIFS |>   currently   --   [AIFS INCORPORATION]  {aifs.org} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY:    <| Construction |>   Materials   --   [AIHAMA CONSTRUCTION INCORPORATION]  {aihama.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: /   <| S |>   RoHS   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: Guidelines   <| For |>   Holding   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| AIH |>   has   --   [AIH DESTINATION MGMT]  {aihtravel.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: to   <| AIDS |>   be   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: ,   <| insurance |>   okc   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: Life   <| Insurance |>   Protection   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Dubbing   <| audio |>   on   --   [AUDIO INTERVISUAL DESIGN]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Handle   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: ’   <| s |>   City   --   [2801 S UNIVERSITY AVENUE]  {aiea.ualr.edu} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: on   <| insurance |>   coverage   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: of   <| construction |>   services   --   [AIHAMA CONSTRUCTION INCORPORATION]  {aihama.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Angeles   <| audio |>   recording   --   [AUDIO INTERVISUAL DESIGN]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: Study   <| Abroad |>   -   --   [9 W BROAD STREET # 7]  {aifs.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: analog   <| audio |>   switcher-   --   [AUDIO INTERVISUAL DESIGN]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: ’   <| s |>   state   --   [2801 S UNIVERSITY AVENUE]  {aiea.ualr.edu} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: ’   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY: in   <| American |>   COMPETES   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: 172X.312X.031   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: ,   <| arizona industrial hardware |>   ,   --   [ARIZONA INDUSTRIAL HARDWARE]  {aihfasteners.com} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: Georgia   <| School for |>   the   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: the   <| Montessori |>   curriculum   --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| Memorial |>   Location   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: fitness   <| for |>   a   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: ,   <| state |>   ,   --   [CENSUS STATE DATA CENTER]  {aiea.ualr.edu} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: The   <| Indian |>   Leader   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| TITLE |>   EXAMINER   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 12
COMPANY: at   <| AIC |>      --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Car   <| Insurance |>   Specialists   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
CITY: Lake   <| City |>   ,   --   [CITY OF INDUSTRY]  {aicipc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY: to   <| American Indian |>   students   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
ADDRESS: 1645   <| W |>   LeMoyne   --   [188 W RANDOLPH STREET # 2400]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: The   <| American Indian |>   College   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: global   <| health |>   leaders   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: responsible   <| for |>   donor   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
