Format: LABEL: Previous <| Matched words |> Next  --  [Pattern used]  {Original file}  Number of occurrence
CONTACT: John <| Figliolia |> recognizes -- [ALEX FIGLIOLIA]  {alexfigliolia.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: Industrial <| Roofing |> , -- [ALEX ROOFING INC]  {alexroofing.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

ADDRESS:  <| 411 Route 206 |> North -- [411 US HIGHWAY 206]  {alfonsos.net} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 2

COMPANY:  <| Insurance |>  -- [FARMERS INSURANCE GROUP]  {alexsayeri.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 8

CONTACT: Call <| Ava |> at -- [AVA DERING]  {alfredoswife.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: local <| Farmers |> agent -- [FARMERS INSURANCE GROUP]  {alexsayeri.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: Browning <| Mazda |> , -- [ALHAMBRA MAZDA]  {alhambramazda.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| Bridal |> Gowns -- [ANGELO ALFRED BRIDAL]  {alfredangelostores.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY: joined <| Algorithm |> in -- [ALGORITHM INC]  {algorithminc.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: Gear <| Oil |>  -- [ALEXIS OIL CO]  {alexisoil.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

CONTACT: seen <| John |> Buckingham -- [JOHN BUCKINHAM]  {alfrank.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: My <| Alfa |>  -- [ALFA REALTY INC]  {alfarealty.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

COMPANY: ALG <| Labels & Graphics |>  -- [ALABAMA LABELS & GRAPHICS CORP]  {alggraphics.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY:  <| Farmers |> Agents -- [FARMERS INSURANCE GROUP]  {alexsayeri.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

COMPANY: that <| Algorithm |> not -- [ALGORITHM INC]  {algorithminc.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| Company |> : -- [ALGER MANUFACTURING CO INC]  {alger1.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Custom <| Homes |> in -- [ALFORD HOMES LLP]  {alfordhomes.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Leadership |> Awards -- [AMERICAN LEADERSHIP FORUM-NTNL]  {alfnational.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 7

ADDRESS: 7641 <| N. |> Business -- [2045 N FORBES BLVD # 103]  {alicatscientific.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 6

COMPANY: Millside <| Elementary |>  -- [FAIR HAVEN ELEMENTARY SCHOOL]  {algonac.k12.mi.us} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

CONTACT:  <| Alex |> has -- [ALEX SAMUELS]  {alexav.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: from <| Alfa |> ™ -- [ALFA INSURANCE CORP]  {alfains.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

CONTACT: from <| Boone |> Newspapers -- [KENNETH BOONE]  {alexcityoutlook.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| Alicia Air |> - -- [ALICIA AIR CONDITIONING & HTG]  {aliciaair.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: from <| Brides |> Like -- [BRIDES MART]  {alfredangelo.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: an <| Algorithm |> team -- [ALGORITHM INC]  {algorithminc.com} REASON:ONLY_ONE_WORD  Occurrence: 1

CONTACT: so <| Bill |> decided -- [BILL HALL]  {algonamarine.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| ALFA |> instrumentsm -- [ALFA INSTRUMENTS]  {alfaline.com} REASON:ONLY_ONE_WORD  Occurrence: 3

COMPANY: Alfred <| Angelo |> was -- [ANGELO ALFRED BRIDAL]  {alfredangelostores.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Transformer |> Dictionary -- [ALLEN TRANSFORMER CO]  {alfatransformer.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY: in <| Alabama |> , -- [AL HILL 'S BOILER SALES]  {alhillboiler.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY: Each <| Alford |> Home -- [ALFORD HOMES LLP]  {alfordhomes.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

ADDRESS: Cheney <| St. |> Taylorville -- [909 FRONT ST]  {alexlbr.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Residential <| Roofing |>  -- [ALEX ROOFING INC]  {alexroofing.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: Mental <| Health |> - -- [ALEXIAN BROTHERS HEALTH SYSTEM]  {alexianbrothershealth.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 8

ADDRESS:  <| Trabuco |> Canyon -- [25422 TRABUCO RD # 105]  {aliciagaragedoors.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

CONTACT:  <| John |> has -- [JOHN BUCKINHAM]  {alfrank.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: , <| Bridal |> , -- [ANGELO ALFRED BRIDAL]  {alfredangelostores.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: The <| Farmers |> Mobile -- [FARMERS INSURANCE GROUP]  {alexsayeri.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY: Residential <| Air Conditioning |> Service -- [ALICIA AIR CONDITIONING & HTG]  {aliciaair.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 4

COMPANY: Men <| Apparel |>  -- [ALICE-RAE INTIMATE APPAREL]  {alicerae.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: At <| Alexian Brothers |> Women -- [ALEXIAN BROTHERS HEALTH SYSTEM]  {alexianbrothershealth.org} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: makes <| Algorithm |> ’ -- [ALGORITHM INC]  {algorithminc.com} REASON:ONLY_ONE_WORD  Occurrence: 1

CITY: * <| NEW |> PRODUCTS -- [NEW YORK]  {alfaco.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

