Format: LABEL: Previous <| Matched words |> Next  --  [Pattern used]  {Original file}  Number of occurrence
COMPANY:  <| Allegra |> franchise -- [ALLEGRA PRINT & IMAGING]  {allegraprint.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

ADDRESS:  <| E. Sir Francis Drake |> Blvd -- [17 E SIR FRANCIS DRAKE BL # 200]  {allcalifornia.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: Nursing <| Care |>  -- [ALL ANIMAL CARE VETERINARY]  {allanimalcare.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| PRINT |> MANAGEMENT -- [ALLEGRA PRINT & IMAGING]  {allegra-arizona.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY:  <| PLUMBING |>  -- [ALLBRITTEN PLUMBING HEATING]  {allbritten.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Alliance |> Partners -- [ALLIANCE CO]  {allco.net} REASON:ONLY_ONE_WORD  Occurrence: 2

ADDRESS: Devils <| Center |> Ice -- [37500 CENTER RIDGE RD]  {allamericansportscenter.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

CONTACT:  <| John |> began -- [JOHN KOIS]  {allcovered.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| Jeffers |> Branches -- [JEFFERS CRANE SVC]  {allcrane.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: About <| Allan |> ' -- [ALLAN 'S JEWELRY & LOAN INC]  {allans.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 7

COMPANY: American <| Art |> Glass -- [ART AMERICA GALLERY]  {allantiqueglass.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY:  <| Arkansas |>  -- [ALL AMERICAN ARKANSAS POLY]  {allampoly.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY: COUNTY <| CONSTRUCTION |> – -- [ALL-COUNTY CONSTRUCTION]  {allcountyconstruction.com} REASON:ONLY_ONE_WORD  Occurrence: 1

ADDRESS: / <| Old |> Seale -- [7900 OLD ROCKSIDE RD]  {allcrane.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

CONTACT:  <| Greenberg |> belongs -- [ALLAN GREENBERG]  {allangreenberg.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: local <| Allegra |> center. -- [ALLEGRA PRINT & IMAGING]  {allegraprint.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

ADDRESS: ' <| s |> spot -- [1300 S PARK AVE]  {allegra-arizona.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Hawaiian <| Destinations |> Specialist -- [ALL DESTINATIONS INC]  {alldestinations.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Sports |> Medicine -- [ALL AMERICAN SPORTS CTR]  {allamericansportscenter.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: Personal <| Credit |> Not -- [AMERICAN CREDIT CARD SYSTEMS]  {allcreditcardservices.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: the <| Allegra |> Home -- [ALLEGRA PRINT & IMAGING]  {allegraprint.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY:  <| ALL |> Canada -- [ALL CRANE RENTAL]  {allcrane.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 15

COMPANY: Renters <| Insurance |>  -- [ALL DISCOUNT INSURANCE SVC]  {alldiscountins.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 6

COMPANY: A <| Crane |>  -- [JEFFERS CRANE SVC]  {allcrane.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

